Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029983980308_thumbnail.jpg,Portrified,,,238510299839803,1.82,2025-06-24 22:17:32,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029983980308_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029983980308_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029985650308_thumbnail.jpg,Portrified,,,238510299856503,1.71,2025-06-24 22:17:31,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029985650308_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029985650308_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029987270308_thumbnail.jpg,Portrified,,,238510299872703,1.71,2025-06-24 22:17:30,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029987270308_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029987270308_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029989620308_thumbnail.jpg,Portrified,,,238510299896203,1.82,2025-06-24 22:17:29,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029989620308_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Portrified_Creative_1_|_Headline_1_|_Copy_1_23851029989620308_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029992240308_thumbnail.jpg,Portrified,,,238510299922403,1.71,2025-06-24 22:17:28,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029992240308_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Portrified_Creative_2_|_Headline_1_|_Copy_1_23851029992240308_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_1_23850059133360056_thumbnail.jpg,TurnSuperHero,,,238500591333600,1.57,2025-06-24 22:17:27,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_1_23850059133360056_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_1_23850059133360056_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Turn_SuperHero_pilotv1_|_copy_1_|_title_1_23850059134260056_thumbnail.jpg,TurnSuperHero,,,238500591342600,1.57,2025-06-24 22:17:26,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Turn_SuperHero_pilotv1_|_copy_1_|_title_1_23850059134260056_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Turn_SuperHero_pilotv1_|_copy_1_|_title_1_23850059134260056_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109919310056_image.jpg,TurnSuperHero,image,,238501099193100,384.68,2025-06-24 22:17:26,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109919310056_image.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109919310056_image.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109921840056_image.jpg,TurnSuperHero,image,,238501099218400,384.68,2025-06-24 22:17:25,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109921840056_image.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Turn_SuperHero_Collage1_|_copy_1_|_title_1_23850109921840056_image.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_2_23850109930690056_thumbnail.jpg,TurnSuperHero,,,238501099306900,1.57,2025-06-24 22:17:24,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_2_23850109930690056_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_Turn_SuperHero_pilotv2_|_copy_1_|_title_2_23850109930690056_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
