Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
MakeMeJedi_1212831203681534_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,7.49,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1212831203681534_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1212831203681534_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1518190389590549_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,8.48,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1518190389590549_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1518190389590549_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_2432920570441720_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,7.49,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_2432920570441720_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_2432920570441720_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_2429515844075681_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,8.48,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_2429515844075681_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_2429515844075681_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1048704517352595_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,7.65,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1048704517352595_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1048704517352595_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_2511741675866644_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,MakeMeJedi,video,,120226594181200354,10.07,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_2511741675866644_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_2511741675866644_video_The_Ultimate_Father_s_Day_Surprise_-_Up_to_70_OFF_2025-06-11.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_701051849340807_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-30-781ba1e3ab3d.jpg,MakeMeJedi,video,,120226594181200354,8.83,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_701051849340807_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-30-781ba1e3ab3d.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_701051849340807_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-30-781ba1e3ab3d.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1231576455025877_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-16-d3a7076b541b.jpg,MakeMeJedi,video,,120226594181200354,10.87,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1231576455025877_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-16-d3a7076b541b.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1231576455025877_video_Surprise_Your_Dad_This_Father_s_Day__2025-05-16-d3a7076b541b.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_973358931497404_image_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-ae7.jpg,MakeMeJedi,image,,120224035615330354,164.23,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_973358931497404_image_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-ae7.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_973358931497404_image_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-ae7.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1160845358860193_video_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-47d.jpg,MakeMeJedi,video,,120224035615330354,7.63,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1160845358860193_video_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-47d.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1160845358860193_video_This_Mother_s_Day__May_the_laughs_be_with_you_2025-04-17-47d.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1878547996015843_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,MakeMeJedi,video,,120223141564780354,8.11,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1878547996015843_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1878547996015843_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_1428725648092803_image_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,MakeMeJedi,image,,120223141564780354,148.49,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_1428725648092803_image_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_1428725648092803_image_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_975403881437353_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,MakeMeJedi,video,,120223141564780354,7.21,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_975403881437353_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_975403881437353_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_981722934125041_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,MakeMeJedi,video,,120223141564780354,8.11,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_981722934125041_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_981722934125041_video_Jedi_Family_Portrait__Now_Everyone_s_Cracking_Up__2025-04-08.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_120214904414330354_video_Up_tp_75_Off_Sitewide_2024-11-29-27d7139a288926134c1ac64a1fd.jpg,MakeMeJedi,video,,120214904279410354,8.02,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120214904414330354_video_Up_tp_75_Off_Sitewide_2024-11-29-27d7139a288926134c1ac64a1fd.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120214904414330354_video_Up_tp_75_Off_Sitewide_2024-11-29-27d7139a288926134c1ac64a1fd.jpg,jpg,1,Fresh download on 2025-06-25
MakeMeJedi_120214512156550354_image_Early_Black_Friday_Sale_-_Up_to_70_Off__2024-11-18-98eaf8cba.jpg,MakeMeJedi,image,,120214176630510354,162.63,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/MakeMeJedi_120214512156550354_image_Early_Black_Friday_Sale_-_Up_to_70_Off__2024-11-18-98eaf8cba.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/MakeMeJedi_120214512156550354_image_Early_Black_Friday_Sale_-_Up_to_70_Off__2024-11-18-98eaf8cba.jpg,jpg,1,Fresh download on 2025-06-25
