unique_id,filename,file_path,directory_source,file_size_kb,modification_date,days_ago,quality_priority,brand,campaign_id,ad_type,creative_name,performance_tier,file_type,github_download_url,github_view_url,is_recent
536f3ed2,MakeMeJedi_120228291374750354_video_Fathers_Day_AI_voiceover_edited_S_2__Imagine.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374750354_video_Fathers_Day_AI_voiceover_edited_S_2__Imagine.jpg,creative-ads-repository,1.48,2025-06-24 22:45:09,0,3,MakeMeJedi,120228291374750,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374750354_video_Fathers_Day_AI_voiceover_edited_S_2__Imagine.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228291374750354_video_Fathers_Day_AI_voiceover_edited_S_2__Imagine.jpg,True
a8bf84d4,MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,creative-ads-repository,1.56,2025-06-24 22:45:36,0,3,MakeMeJedi,120204823402360,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204823402360354_video_Review_mashup_1__Make_anyone_laugh.jpg,True
c4acd325,20_Fathers_Day_Mashup_2024_PLACEHOLDER.png,creative-ads-repository/MakeMeJedi/20_Fathers_Day_Mashup_2024_PLACEHOLDER.png,creative-ads-repository,34.21,2025-06-24 20:06:04,0,3,,,,Fathers Day Campaign,👨 FATHERS DAY,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/20_Fathers_Day_Mashup_2024_PLACEHOLDER.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/20_Fathers_Day_Mashup_2024_PLACEHOLDER.png,True
f0782c3b,MakeMeJedi_120205316284580354_video_V_day_reaction_4__This_Valentines_Day.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120205316284580354_video_V_day_reaction_4__This_Valentines_Day.jpg,creative-ads-repository,1.77,2025-06-24 22:44:55,0,3,MakeMeJedi,120205316284580,video,Valentines Day Reaction,💝 SEASONAL,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120205316284580354_video_V_day_reaction_4__This_Valentines_Day.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120205316284580354_video_V_day_reaction_4__This_Valentines_Day.jpg,True
4c3d1d26,MakeMeJedi_120204514881640354_video_FD_1_remake__A_long_time_ago.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881640354_video_FD_1_remake__A_long_time_ago.jpg,creative-ads-repository,1.6,2025-06-24 22:44:54,0,3,MakeMeJedi,120204514881640,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881640354_video_FD_1_remake__A_long_time_ago.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881640354_video_FD_1_remake__A_long_time_ago.jpg,True
d9d2064a,MakeMeJedi_120204475677390354_video_BF_3_remake__Make_anyone_laugh.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475677390354_video_BF_3_remake__Make_anyone_laugh.jpg,creative-ads-repository,1.64,2025-06-24 22:44:59,0,3,MakeMeJedi,120204475677390,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475677390354_video_BF_3_remake__Make_anyone_laugh.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204475677390354_video_BF_3_remake__Make_anyone_laugh.jpg,True
2a41f3db,21_Couple_Become_Jedi_PLACEHOLDER.png,creative-ads-repository/MakeMeJedi/21_Couple_Become_Jedi_PLACEHOLDER.png,creative-ads-repository,30.58,2025-06-24 20:06:04,0,3,,,,,,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/21_Couple_Become_Jedi_PLACEHOLDER.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/21_Couple_Become_Jedi_PLACEHOLDER.png,True
d6e25a22,04_Bigfoot_Jungle_Vlog_REAL_AD.jpg,creative-ads-repository/TurnedYellow/04_Bigfoot_Jungle_Vlog_REAL_AD.jpg,creative-ads-repository,2.08,2025-06-24 22:21:21,0,3,,,,Bigfoot Jungle Vlog,🥇 WINNER,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/04_Bigfoot_Jungle_Vlog_REAL_AD.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/04_Bigfoot_Jungle_Vlog_REAL_AD.jpg,True
f2ba8baf,TurnedYellow_120225001496540108_video_The_Kids_React_Ad_Video_edited_L___One_photo.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120225001496540108_video_The_Kids_React_Ad_Video_edited_L___One_photo.jpg,creative-ads-repository,1.56,2025-06-24 22:44:14,0,3,TurnedYellow,120225001496540,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225001496540108_video_The_Kids_React_Ad_Video_edited_L___One_photo.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225001496540108_video_The_Kids_React_Ad_Video_edited_L___One_photo.jpg,True
60d9e1e0,TurnedYellow_120207192312690108_video_influencer_David__Most_incredible.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120207192312690108_video_influencer_David__Most_incredible.jpg,creative-ads-repository,1.83,2025-06-24 22:44:04,0,3,TurnedYellow,120207192312690,video,David Influencer Winner,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120207192312690108_video_influencer_David__Most_incredible.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120207192312690108_video_influencer_David__Most_incredible.jpg,True
8d350a8d,TurnedYellow_120225202865920108_gif_Fathers_day_Turn_me_Royal_edited_P_2__Bring_a_.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120225202865920108_gif_Fathers_day_Turn_me_Royal_edited_P_2__Bring_a_.jpg,creative-ads-repository,2.07,2025-06-24 22:44:34,0,3,TurnedYellow,120225202865920,gif,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225202865920108_gif_Fathers_day_Turn_me_Royal_edited_P_2__Bring_a_.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225202865920108_gif_Fathers_day_Turn_me_Royal_edited_P_2__Bring_a_.jpg,True
dc9ac046,TurnedYellow_120225691159670108_video_Fathers_day_AI_VO_edited_L__Bring_a_smile.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120225691159670108_video_Fathers_day_AI_VO_edited_L__Bring_a_smile.jpg,creative-ads-repository,1.96,2025-06-24 22:44:19,0,3,TurnedYellow,120225691159670,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225691159670108_video_Fathers_day_AI_VO_edited_L__Bring_a_smile.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225691159670108_video_Fathers_day_AI_VO_edited_L__Bring_a_smile.jpg,True
fd259d76,TurnedYellow_120223373517440108_image_Fathers_day_son__This_Fathers_Day_-_Copy.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120223373517440108_image_Fathers_day_son__This_Fathers_Day_-_Copy.jpg,creative-ads-repository,147.49,2025-06-24 22:44:09,0,3,TurnedYellow,120223373517440,image,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120223373517440108_image_Fathers_day_son__This_Fathers_Day_-_Copy.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120223373517440108_image_Fathers_day_son__This_Fathers_Day_-_Copy.jpg,True
26e49d5a,TurnedYellow_120208078493940108_video_Royal_inspo_hook_1__Looking_for_a.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120208078493940108_video_Royal_inspo_hook_1__Looking_for_a.jpg,creative-ads-repository,1.66,2025-06-24 22:44:47,0,3,TurnedYellow,120208078493940,video,Royal Inspo Hook Strong,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120208078493940108_video_Royal_inspo_hook_1__Looking_for_a.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120208078493940108_video_Royal_inspo_hook_1__Looking_for_a.jpg,True
c4acd325,05_Fathers_Day_Video_2025_PLACEHOLDER.png,creative-ads-repository/TurnedYellow/05_Fathers_Day_Video_2025_PLACEHOLDER.png,creative-ads-repository,30.31,2025-06-24 20:06:04,0,3,,,video,Fathers Day Campaign,👨 FATHERS DAY,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/05_Fathers_Day_Video_2025_PLACEHOLDER.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/05_Fathers_Day_Video_2025_PLACEHOLDER.png,True
912f4278,TurnedYellow_120225300804970108_video_Fathers_day_Turn_me_Royal_edited_L_2__Bring_.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120225300804970108_video_Fathers_day_Turn_me_Royal_edited_L_2__Bring_.jpg,creative-ads-repository,1.47,2025-06-24 22:44:29,0,3,TurnedYellow,120225300804970,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225300804970108_video_Fathers_day_Turn_me_Royal_edited_L_2__Bring_.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120225300804970108_video_Fathers_day_Turn_me_Royal_edited_L_2__Bring_.jpg,True
004ef2b1,TurnedYellow_120222287087810108_video_TikTok-Style_Reaction_Grid_video_edited_S__S.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120222287087810108_video_TikTok-Style_Reaction_Grid_video_edited_S__S.jpg,creative-ads-repository,1.79,2025-06-24 22:44:48,0,3,TurnedYellow,120222287087810,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120222287087810108_video_TikTok-Style_Reaction_Grid_video_edited_S__S.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120222287087810108_video_TikTok-Style_Reaction_Grid_video_edited_S__S.jpg,True
1f9fd775,TurnedYellow_120223373161780108_image_Fathers_day_Up_to_70__This_Fathers_Day_-_Cop.jpg,creative-ads-repository/TurnedYellow/TurnedYellow_120223373161780108_image_Fathers_day_Up_to_70__This_Fathers_Day_-_Cop.jpg,creative-ads-repository,2.06,2025-06-24 22:44:24,0,3,TurnedYellow,120223373161780,image,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/TurnedYellow/TurnedYellow_120223373161780108_image_Fathers_day_Up_to_70__This_Fathers_Day_-_Cop.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/TurnedYellow/TurnedYellow_120223373161780108_image_Fathers_day_Up_to_70__This_Fathers_Day_-_Cop.jpg,True
